index,POPULATION,PREV_F,PREV_M
Kabe,17632.0,0.263,0.118
Katima Muliro Rural,13285.0,0.263,0.118
Katima Muliro Urban,28362.0,0.39,0.237
Kongola,7366.0,0.263,0.118
Linyandi,7328.0,0.263,0.118
Sibinda,11112.0,0.263,0.118
Arandis,10093.0,0.147,0.11
Daures,11350.0,0.125,0.039
Karibib,13320.0,0.14,0.078
Omaruru,8577.0,0.141,0.0819999999999999
Swakopmund,44725.0,0.147,0.113
Walvisbay Rural,26916.0,0.147,0.11
Walvisbay Urban,35828.0,0.147,0.113
Gibeon,6354.0,0.11,0.085
Mariental Rural,6780.0,0.109,0.085
Mariental Urban,15254.0,0.085,0.072
Rehoboth Rural,7591.0,0.12,0.09
Rehoboth West,11197.0,0.075,0.066
Berseba,10589.0,0.165,0.093
Karas,16470.0,0.16,0.094
Keetmanshoop Rural,7219.0,0.161,0.094
Keetmanshoop Urban,19447.0,0.143,0.096
Luderitz,13859.0,0.145,0.096
Oranjemund,9837.0,0.157,0.094
Kahenge,30180.0,0.171,0.1159999999999999
Kapako,20359.0,0.171,0.1159999999999999
Mashare,15688.0,0.171,0.1159999999999999
Mpungu,15018.0,0.174,0.119
Mukwe,27690.0,0.171,0.1159999999999999
Ndiyona,9551.0,0.171,0.1159999999999999
Rundu Rural East,9381.0,0.2269999999999999,0.155
Rundu Rural West,8541.0,0.238,0.163
Rundu Urban,63431.0,0.257,0.176
Windhoek Rural,19143.0,0.123,0.108
Windhoek West,53438.0,0.122,0.1159999999999999
Epupa,17696.0,0.086,0.094
Kamanjab,8441.0,0.086,0.094
Khorixas,12566.0,0.09,0.113
Opuwo,27272.0,0.088,0.107
Outjo,12447.0,0.091,0.1169999999999999
Sesfontein,8434.0,0.086,0.094
Eenhana,22319.0,0.218,0.063
Endola,25591.0,0.2239999999999999,0.07
Engela,24641.0,0.216,0.061
Epembe,11883.0,0.2239999999999999,0.07
Ohangwena,23851.0,0.218,0.064
Okongo,17999.0,0.2239999999999999,0.07
Omulonga,27772.0,0.2239999999999999,0.07
Omundaungilo,10006.0,0.2239999999999999,0.07
Ondobe,22491.0,0.223,0.069
Ongenga,21705.0,0.2239999999999999,0.07
Oshikango,24201.0,0.217,0.062
Aminius,12306.0,0.057,0.066
Epukiro,6106.0,0.057,0.066
Gobabis,20993.0,0.081,0.093
Kalahari,7611.0,0.061,0.07
Otjinene,7306.0,0.066,0.077
Otjombinde,6851.0,0.057,0.066
Steinhausen,10060.0,0.057,0.066
Anamulenge,14949.0,0.221,0.114
Elim,12199.0,0.217,0.127
Etayi,30550.0,0.218,0.125
Ogongo,16436.0,0.217,0.127
Okahao,18734.0,0.222,0.11
Okalongo,26459.0,0.217,0.127
Onesi,16613.0,0.217,0.127
Oshikuku,14699.0,0.23,0.084
Otamanzi,13495.0,0.217,0.127
Outapi,36740.0,0.225,0.1
Ruacana,14857.0,0.226,0.098
Tsandi,27435.0,0.217,0.127
Okaku,19007.0,0.241,0.1009999999999999
Okatyali,3187.0,0.241,0.1009999999999999
Ondangwa,36846.0,0.195,0.1169999999999999
Ongwediva,34065.0,0.195,0.1169999999999999
Oshakati East,27227.0,0.19,0.119
Oshakati West,20676.0,0.184,0.121
Uukwiyu,12092.0,0.241,0.1009999999999999
Uuvudhiya,4114.0,0.241,0.1009999999999999
Engodi,15490.0,0.172,0.12
Guinas,5460.0,0.172,0.12
Okankolo,13204.0,0.172,0.12
Olukonda,9559.0,0.172,0.12
Omuntele,16865.0,0.172,0.12
Omuthiyagwipundi,26183.0,0.165,0.106
Onayena,15392.0,0.172,0.12
Oniipa,24939.0,0.172,0.12
Onyaanya,20902.0,0.172,0.12
Tsumeb,23269.0,0.132,0.039
Grootfontein,24878.0,0.138,0.096
Okahandja,24451.0,0.147,0.114
Okakarara,22747.0,0.122,0.065
Omatako,17288.0,0.113,0.047
Otavi,12488.0,0.128,0.077
Otjiwarongo,32144.0,0.146,0.1119999999999999
Tsumkwe,9907.0,0.113,0.047
